,is_canceled,stays_in_week_nights,stays_in_weekend_nights,previous_cancellations,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,meal,previous_bookings_not_canceled,Booking_id
10534,1,0,1,0,2,No Deposit,0,2,BB,0,1257
10558,1,14,4,0,1,No Deposit,0,0,HB,0,1258
10559,1,14,4,0,0,No Deposit,0,0,HB,0,1259
10576,1,15,6,0,0,No Deposit,0,1,HB,0,1260
10660,1,3,2,0,6,No Deposit,0,1,BB,0,1261
10716,1,4,0,0,3,No Deposit,0,1,BB,0,1262
10723,1,1,0,0,2,No Deposit,0,0,HB,0,1263
10738,1,6,2,0,0,No Deposit,0,0,Undefined,0,1264
10808,1,4,1,0,4,No Deposit,0,0,BB,0,1265
10836,1,1,0,0,3,No Deposit,0,0,BB,0,1266
10869,1,0,1,0,2,No Deposit,0,0,BB,0,1267
10928,1,2,0,0,1,No Deposit,0,1,Undefined,0,1268
10930,1,4,0,0,1,No Deposit,0,1,Undefined,0,1269
10937,1,7,2,0,1,Refundable,0,1,BB,0,1270
10938,1,7,2,0,1,No Deposit,0,1,BB,0,1271
10956,1,3,0,0,1,No Deposit,0,1,HB,0,1272
10965,1,3,0,0,0,No Deposit,0,3,HB,0,1273
10973,1,3,1,0,1,No Deposit,0,2,HB,0,1274
10983,1,7,2,0,5,No Deposit,0,0,BB,0,1275
10988,1,7,2,0,6,No Deposit,0,0,BB,0,1276
11012,1,3,2,0,2,No Deposit,0,2,BB,0,1277
11048,1,2,2,0,1,Refundable,0,0,HB,0,1278
11061,1,5,2,0,2,No Deposit,0,1,HB,0,1279
11122,1,2,2,0,0,No Deposit,0,4,BB,0,1280
11125,0,7,4,0,2,No Deposit,0,5,BB,0,1281
11332,1,9,3,0,0,Non Refund,0,0,Undefined,0,1282
11398,1,2,2,0,3,Refundable,0,1,BB,0,1283
11425,1,1,2,0,3,No Deposit,0,0,Undefined,0,1284
11471,1,6,2,0,1,No Deposit,0,3,BB,0,1285
11524,1,6,2,0,2,No Deposit,0,0,BB,0,1286
11542,0,0,1,0,0,No Deposit,0,0,SC,0,1287
11614,1,0,2,0,1,No Deposit,0,0,BB,0,1288
11620,1,4,2,0,2,No Deposit,0,1,BB,0,1289
11656,1,3,0,0,0,Non Refund,0,0,HB,0,1290
11659,1,3,0,0,0,Refundable,0,0,BB,0,1291
11685,1,3,2,0,0,Non Refund,0,1,BB,0,1292
11687,1,5,2,0,0,Refundable,0,0,BB,0,1293
11714,1,10,4,0,0,Refundable,0,1,BB,0,1294
11716,1,1,0,0,1,No Deposit,0,0,Undefined,0,1295
11739,1,0,2,0,0,No Deposit,0,2,HB,0,1296
11749,1,2,2,0,2,No Deposit,0,4,BB,0,1297
11765,1,5,3,0,2,No Deposit,0,0,BB,0,1298
11774,1,6,3,0,0,Refundable,0,1,BB,0,1299
11805,1,4,2,0,0,Non Refund,0,0,BB,0,1300
11950,1,6,4,0,0,No Deposit,0,1,HB,0,1301
11957,1,2,1,0,1,No Deposit,0,1,HB,0,1302
11990,1,9,2,0,2,No Deposit,0,1,BB,0,1303
11992,1,3,2,0,0,Non Refund,0,0,HB,0,1304
12000,1,3,2,0,1,Non Refund,0,0,HB,0,1305
12023,1,2,0,0,6,No Deposit,0,2,HB,0,1306
12027,1,4,2,0,4,No Deposit,0,1,BB,0,1307
12037,1,7,2,0,0,No Deposit,0,4,BB,0,1308
12091,1,5,3,0,0,No Deposit,0,1,Undefined,0,1309
12114,1,4,0,0,2,No Deposit,0,2,HB,0,1310
12127,1,19,8,0,1,No Deposit,0,0,BB,0,1311
12151,1,7,2,0,1,No Deposit,0,2,HB,0,1312
12152,1,7,2,0,1,No Deposit,0,4,HB,0,1313
12160,1,2,0,0,3,No Deposit,0,2,BB,0,1314
12194,1,5,2,0,1,No Deposit,0,2,Undefined,0,1315
12229,1,5,4,0,1,No Deposit,0,0,HB,0,1316
12232,1,15,6,0,1,No Deposit,0,1,BB,0,1317
12259,1,8,2,0,1,No Deposit,0,0,HB,0,1318
12339,1,1,2,0,2,No Deposit,0,1,BB,0,1319
12384,1,4,1,0,0,Refundable,0,1,HB,0,1320
12427,1,3,1,0,3,No Deposit,0,0,BB,0,1321
12477,1,3,2,0,1,No Deposit,0,2,HB,0,1322
12489,1,6,3,0,0,No Deposit,0,3,BB,0,1323
12493,1,7,4,0,1,No Deposit,0,1,HB,0,1324
12514,1,5,4,0,0,No Deposit,0,1,BB,0,1325
12516,1,8,4,0,1,No Deposit,0,3,HB,0,1326
12549,1,7,3,0,1,No Deposit,0,0,BB,0,1327
12581,1,8,2,0,1,No Deposit,0,1,BB,0,1328
12582,1,8,2,0,1,No Deposit,0,0,BB,0,1329
12676,1,5,0,0,1,No Deposit,0,1,FB,0,1330
12718,1,2,1,0,0,Refundable,0,1,BB,0,1331
12735,1,7,4,0,4,No Deposit,0,1,BB,0,1332
12744,1,2,2,0,2,No Deposit,0,0,BB,0,1333
12745,1,3,2,0,5,No Deposit,0,0,BB,0,1334
12768,1,2,2,0,4,No Deposit,0,1,BB,0,1335
12772,1,4,2,0,0,No Deposit,0,4,BB,0,1336
12792,1,4,1,0,3,No Deposit,0,1,BB,0,1337
12797,1,5,1,0,1,No Deposit,0,0,HB,0,1338
12800,1,5,2,0,3,No Deposit,0,0,Undefined,0,1339
12807,1,5,3,0,2,No Deposit,0,0,HB,0,1340
12815,1,11,5,0,0,No Deposit,0,0,HB,0,1341
12817,1,10,3,0,0,No Deposit,0,2,HB,0,1342
12836,1,3,0,0,6,No Deposit,0,1,BB,0,1343
12844,1,9,2,0,0,No Deposit,0,1,HB,0,1344
12865,1,4,2,0,1,No Deposit,0,3,Undefined,0,1345
12874,1,11,4,0,0,No Deposit,0,1,BB,0,1346
12877,1,3,2,0,1,No Deposit,0,0,Undefined,0,1347
12908,1,6,2,0,2,No Deposit,0,1,BB,0,1348
12957,1,8,3,0,0,No Deposit,0,1,HB,0,1349
12958,1,9,3,0,0,No Deposit,0,1,BB,0,1350
12965,1,4,0,0,3,No Deposit,0,0,HB,0,1351
12968,1,4,0,0,3,No Deposit,0,2,HB,0,1352
12981,1,4,1,0,1,No Deposit,0,3,BB,0,1353
12994,1,9,2,0,0,No Deposit,0,1,BB,0,1354
13014,1,2,0,0,2,No Deposit,0,1,HB,0,1355
13049,1,4,2,0,0,No Deposit,0,3,HB,0,1356
13067,1,6,4,0,2,No Deposit,0,0,HB,0,1357
13077,1,4,2,0,1,No Deposit,0,0,FB,0,1358
13085,1,8,4,0,0,No Deposit,0,1,HB,0,1359
13095,1,4,1,0,3,No Deposit,0,1,Undefined,0,1360
13122,1,5,0,0,0,No Deposit,0,2,HB,0,1361
13123,1,5,0,0,1,No Deposit,0,3,HB,0,1362
13153,1,8,2,0,0,No Deposit,0,0,FB,0,1363
13159,1,2,0,0,0,Refundable,0,1,BB,0,1364
13179,1,8,2,0,0,No Deposit,0,0,Undefined,0,1365
13196,1,2,2,0,2,No Deposit,0,2,HB,0,1366
13197,1,2,2,0,2,No Deposit,0,2,BB,0,1367
13199,1,2,2,0,1,No Deposit,0,0,FB,0,1368
13238,1,7,4,0,1,No Deposit,0,2,BB,0,1369
13266,1,5,3,0,0,No Deposit,0,0,FB,0,1370
13269,1,5,4,0,0,No Deposit,0,0,HB,0,1371
13284,1,4,1,0,1,No Deposit,0,0,Undefined,0,1372
13304,1,6,3,0,1,No Deposit,0,1,HB,0,1373
13323,1,8,2,0,3,No Deposit,0,0,HB,0,1374
13325,1,8,2,0,1,No Deposit,0,2,FB,0,1375
13349,1,7,3,0,2,No Deposit,0,1,BB,0,1376
13356,1,2,1,0,3,No Deposit,0,2,BB,0,1377
13362,1,1,2,0,0,No Deposit,0,0,FB,0,1378
13401,1,9,4,0,1,No Deposit,0,2,HB,0,1379
13432,1,1,0,0,3,No Deposit,0,1,BB,0,1380
13450,1,10,3,0,0,No Deposit,0,1,BB,0,1381
13533,1,8,4,0,0,No Deposit,0,3,BB,0,1382
13565,1,1,2,0,1,No Deposit,0,2,HB,0,1383
13573,1,4,2,0,2,No Deposit,0,1,HB,0,1384
13579,1,7,4,0,0,No Deposit,0,3,BB,0,1385
13582,1,9,4,0,1,No Deposit,0,0,BB,0,1386
13583,1,13,6,0,0,No Deposit,0,1,BB,0,1387
13597,1,4,1,0,3,No Deposit,0,1,HB,0,1388
13600,1,5,1,0,0,No Deposit,0,0,FB,0,1389
13605,1,5,2,0,0,No Deposit,0,3,HB,0,1390
13615,1,4,0,0,0,No Deposit,0,2,FB,0,1391
13626,1,5,2,0,2,No Deposit,0,2,HB,0,1392
13680,1,1,2,0,3,No Deposit,0,1,BB,0,1393
13681,1,2,2,0,0,No Deposit,0,0,FB,0,1394
13747,1,4,1,0,0,Refundable,0,2,BB,0,1395
13748,1,5,1,0,1,No Deposit,0,3,HB,0,1396
13762,1,2,0,0,3,No Deposit,0,3,BB,0,1397
13776,1,2,0,0,4,No Deposit,0,1,BB,0,1398
13792,1,1,0,0,0,No Deposit,0,4,HB,0,1399
13803,0,2,0,0,0,No Deposit,0,0,BB,1,1400
13804,0,3,1,0,0,No Deposit,1,0,BB,2,1401
13805,1,2,0,1,0,No Deposit,0,0,BB,3,1402
13808,0,2,0,0,1,No Deposit,0,0,BB,1,1403
13810,0,6,4,0,1,No Deposit,1,2,HB,0,1404
13811,1,8,3,1,1,No Deposit,0,1,HB,1,1405
13814,0,0,1,0,0,No Deposit,0,0,BB,2,1406
13815,0,1,0,0,0,No Deposit,0,0,BB,3,1407
13818,0,1,0,0,0,No Deposit,0,0,BB,2,1408
13821,0,2,0,0,0,No Deposit,0,0,BB,2,1409
13822,0,2,1,0,0,No Deposit,0,0,BB,3,1410
13824,1,0,1,0,0,No Deposit,0,0,BB,1,1411
13825,0,0,1,1,0,No Deposit,0,0,BB,1,1412
13826,0,1,0,1,0,No Deposit,0,0,BB,2,1413
13827,0,2,0,1,0,No Deposit,0,0,BB,3,1414
13829,0,2,1,0,0,No Deposit,0,0,BB,1,1415
13831,0,1,0,0,0,No Deposit,0,0,BB,1,1416
13832,0,1,0,0,0,No Deposit,1,0,BB,2,1417
13833,0,1,0,0,1,No Deposit,1,0,BB,3,1418
13834,0,1,0,0,1,No Deposit,0,0,BB,1,1419
13837,0,2,0,0,0,No Deposit,1,0,BB,1,1420
13838,0,7,3,0,1,No Deposit,1,1,HB,0,1421
13839,0,6,4,0,0,No Deposit,1,1,HB,1,1422
13841,0,3,1,0,0,No Deposit,0,0,BB,1,1423
13842,0,10,4,0,3,No Deposit,1,1,BB,0,1424
13843,0,1,0,0,0,No Deposit,1,3,BB,2,1425
13844,0,4,2,0,1,No Deposit,1,2,BB,1,1426
13845,0,3,2,0,3,No Deposit,1,3,BB,2,1427
13848,0,3,0,0,0,No Deposit,0,2,HB,1,1428
13849,0,3,0,0,0,No Deposit,1,2,HB,1,1429
13850,0,2,1,0,0,No Deposit,1,2,BB,3,1430
13851,0,1,1,0,0,No Deposit,1,2,BB,4,1431
13852,0,1,1,0,0,No Deposit,1,2,BB,5,1432
13855,0,1,0,1,0,No Deposit,0,0,BB,1,1433
13857,0,3,1,1,0,No Deposit,0,0,BB,3,1434
13858,0,2,0,1,0,No Deposit,0,0,BB,4,1435
13859,0,1,1,0,1,No Deposit,1,2,BB,0,1436
13860,0,10,3,0,1,No Deposit,1,3,BB,1,1437
13861,0,10,2,0,0,No Deposit,1,4,BB,2,1438
13863,0,3,1,0,2,No Deposit,0,0,HB,0,1439
13864,1,6,4,1,0,No Deposit,0,0,HB,1,1440
13866,0,2,0,0,1,No Deposit,1,0,BB,2,1441
13867,0,2,0,0,1,No Deposit,1,0,BB,3,1442
13870,0,2,0,0,0,No Deposit,1,0,BB,2,1443
13875,1,2,0,0,0,No Deposit,0,0,BB,3,1444
13876,0,1,0,1,0,No Deposit,0,0,BB,3,1445
13877,0,0,1,1,0,No Deposit,0,0,BB,4,1446
13878,0,1,0,1,0,No Deposit,0,0,BB,5,1447
13879,0,0,2,1,4,No Deposit,0,0,BB,6,1448
13880,0,0,1,1,0,No Deposit,0,0,BB,7,1449
13881,0,0,1,1,0,No Deposit,0,0,BB,8,1450
13883,0,0,1,0,0,No Deposit,0,1,BB,1,1451
13886,0,2,1,0,0,No Deposit,1,1,BB,3,1452
13887,0,2,0,0,0,No Deposit,1,3,BB,4,1453
13888,0,2,0,0,0,No Deposit,1,3,BB,5,1454
13889,0,5,3,0,3,No Deposit,1,3,SC,6,1455
13891,0,1,0,0,0,No Deposit,1,0,BB,3,1456
13892,0,1,0,0,1,No Deposit,1,0,BB,4,1457
13893,0,1,0,0,0,No Deposit,1,0,BB,5,1458
13894,1,0,1,0,1,No Deposit,0,2,BB,1,1459
13895,0,2,0,1,1,No Deposit,1,2,BB,1,1460
13896,0,1,0,1,2,No Deposit,1,2,BB,2,1461
13897,0,1,0,1,1,No Deposit,1,2,BB,3,1462
13898,0,1,0,1,1,No Deposit,1,2,BB,4,1463
13899,0,2,0,1,1,No Deposit,1,2,BB,5,1464
13900,0,1,0,1,0,No Deposit,1,2,BB,6,1465
13901,0,1,0,1,0,No Deposit,1,2,BB,7,1466
13902,0,1,0,1,0,No Deposit,1,2,BB,8,1467
13903,0,1,0,1,1,No Deposit,1,2,BB,9,1468
13904,0,1,0,1,1,No Deposit,1,2,BB,10,1469
13905,0,1,0,1,1,No Deposit,1,2,BB,11,1470
13906,0,1,0,1,1,No Deposit,1,2,BB,12,1471
13911,0,6,3,0,0,No Deposit,1,0,BB,0,1472
13912,0,1,0,0,0,No Deposit,1,0,BB,1,1473
13915,0,1,0,0,0,No Deposit,1,0,BB,4,1474
13917,0,1,1,0,0,No Deposit,1,0,BB,1,1475
13918,1,2,0,1,0,No Deposit,0,0,BB,2,1476
13920,0,1,0,0,1,No Deposit,0,0,BB,2,1477
13921,0,2,0,0,0,No Deposit,0,0,BB,3,1478
13922,0,2,0,0,0,No Deposit,0,0,BB,4,1479
13923,0,2,0,0,0,No Deposit,0,0,BB,5,1480
13924,0,1,1,0,0,No Deposit,0,0,BB,6,1481
13925,0,2,0,0,0,No Deposit,0,0,BB,7,1482
13926,0,1,0,0,0,No Deposit,0,0,BB,8,1483
13927,0,10,4,0,0,No Deposit,1,2,BB,0,1484
13928,0,8,4,0,3,No Deposit,1,1,BB,0,1485
13929,0,10,5,0,0,No Deposit,1,1,BB,1,1486
13932,0,2,2,0,1,No Deposit,1,0,BB,1,1487
13933,0,7,2,0,0,No Deposit,1,2,BB,2,1488
13934,0,2,2,0,0,No Deposit,1,1,BB,3,1489
13935,0,7,2,0,0,No Deposit,1,4,BB,4,1490
13938,0,12,4,0,0,No Deposit,0,0,BB,1,1491
13942,0,6,3,0,0,No Deposit,0,3,BB,0,1492
13944,0,1,0,0,0,No Deposit,0,1,BB,1,1493
13945,0,1,0,0,0,No Deposit,0,1,BB,2,1494
13946,0,1,0,0,0,No Deposit,0,1,BB,3,1495
13948,0,1,0,0,0,No Deposit,1,1,BB,1,1496
13949,1,1,0,0,0,No Deposit,0,1,BB,2,1497
13950,1,1,0,1,0,No Deposit,0,2,BB,2,1498
13951,0,2,0,2,1,No Deposit,1,2,BB,2,1499
13952,0,1,0,2,0,No Deposit,0,2,BB,3,1500
13953,0,1,0,2,0,No Deposit,0,2,BB,4,1501
13954,0,1,1,2,0,No Deposit,1,2,BB,5,1502
13955,0,1,0,2,0,No Deposit,1,2,BB,6,1503
13956,0,1,0,2,0,No Deposit,1,2,BB,7,1504
13957,0,2,1,2,1,No Deposit,1,2,BB,8,1505
13958,0,1,0,2,0,No Deposit,1,2,BB,9,1506
13959,0,1,0,2,0,No Deposit,1,2,BB,10,1507
13960,0,1,0,2,1,No Deposit,1,2,BB,11,1508
13961,0,1,0,2,0,No Deposit,1,2,BB,12,1509
13962,0,0,1,2,0,No Deposit,1,2,BB,13,1510
13964,0,2,0,0,0,No Deposit,0,1,BB,1,1511
13968,0,4,0,0,0,No Deposit,1,2,BB,1,1512
13969,0,3,2,0,1,No Deposit,1,2,BB,2,1513
13973,0,0,0,0,0,No Deposit,0,0,BB,1,1514
13978,0,2,0,0,0,No Deposit,0,1,BB,2,1515
13981,0,2,0,0,1,No Deposit,0,0,BB,3,1516
13982,0,1,0,0,0,No Deposit,0,0,BB,4,1517
13983,0,0,1,0,0,No Deposit,0,0,BB,5,1518
13988,1,3,1,1,0,No Deposit,0,0,BB,0,1519
13989,0,3,1,1,0,No Deposit,0,0,BB,0,1520
13990,0,2,0,1,0,No Deposit,0,0,BB,1,1521
13992,0,0,2,0,0,No Deposit,1,2,BB,2,1522
13993,0,1,0,0,0,No Deposit,1,2,BB,3,1523
13994,0,1,0,0,0,No Deposit,1,2,BB,4,1524
13995,0,1,1,0,0,No Deposit,1,0,BB,5,1525
13996,0,3,2,0,0,No Deposit,0,0,BB,1,1526
13998,0,9,4,0,1,No Deposit,0,1,BB,1,1527
13999,0,6,4,0,3,No Deposit,0,1,BB,2,1528
14000,0,7,4,0,3,No Deposit,0,3,BB,3,1529
14001,0,6,4,0,2,No Deposit,0,1,BB,4,1530
14003,0,1,0,0,0,No Deposit,0,1,BB,5,1531
14004,0,2,0,0,1,No Deposit,0,1,BB,6,1532
14005,0,1,0,0,0,No Deposit,0,1,BB,7,1533
14006,0,1,0,0,0,No Deposit,0,1,BB,8,1534
14007,0,1,0,0,0,No Deposit,0,2,BB,9,1535
14008,0,2,0,0,1,No Deposit,0,0,BB,10,1536
14009,0,2,0,0,1,No Deposit,0,1,BB,11,1537
14010,0,1,0,0,0,No Deposit,0,0,BB,12,1538
14011,0,1,0,0,0,No Deposit,0,0,BB,13,1539
14012,0,2,0,0,0,No Deposit,0,0,BB,14,1540
14013,0,1,0,0,0,No Deposit,0,0,BB,15,1541
14014,0,1,0,0,0,No Deposit,0,0,BB,16,1542
14015,0,1,0,0,0,No Deposit,0,0,BB,17,1543
14016,0,1,0,0,0,No Deposit,0,2,BB,18,1544
14018,0,2,0,0,1,No Deposit,0,2,BB,20,1545
14019,0,1,0,0,0,No Deposit,0,0,BB,21,1546
14020,0,1,0,0,0,No Deposit,0,2,BB,22,1547
14021,0,2,0,0,1,No Deposit,0,2,BB,23,1548
14022,0,2,0,0,1,No Deposit,0,2,BB,24,1549
14023,0,1,0,0,0,No Deposit,0,0,BB,25,1550
14025,1,1,0,0,0,No Deposit,0,2,BB,27,1551
14026,0,1,0,1,0,No Deposit,0,1,BB,27,1552
14027,0,1,0,1,0,No Deposit,0,2,BB,28,1553
14028,0,1,0,1,0,No Deposit,0,0,BB,29,1554
14029,0,1,0,1,0,No Deposit,0,1,BB,30,1555
14030,0,8,2,0,0,No Deposit,0,3,BB,1,1556
14034,0,1,0,0,1,No Deposit,0,2,BB,4,1557
14035,0,1,0,0,0,No Deposit,1,1,BB,5,1558
14037,0,42,18,0,0,No Deposit,0,3,HB,0,1559
14038,0,50,19,0,2,No Deposit,0,3,HB,1,1560
14039,0,21,9,0,0,No Deposit,2,3,HB,2,1561
14042,0,1,1,0,0,No Deposit,0,0,BB,3,1562
14043,0,2,0,0,0,No Deposit,1,0,BB,4,1563
14044,0,2,1,0,0,No Deposit,0,1,BB,5,1564
14046,0,2,1,0,0,No Deposit,0,1,BB,2,1565
14048,0,2,1,0,1,No Deposit,1,1,HB,1,1566
14049,0,5,2,0,1,No Deposit,1,3,HB,1,1567
14054,0,3,1,0,0,No Deposit,0,0,BB,2,1568
14056,0,1,1,0,0,No Deposit,1,1,BB,1,1569
14057,0,3,0,0,1,No Deposit,1,1,BB,2,1570
14060,0,0,1,0,1,No Deposit,0,0,BB,1,1571
14062,0,5,0,0,3,No Deposit,0,2,BB,0,1572
14063,0,3,1,0,0,No Deposit,1,2,HB,0,1573
14071,0,2,2,0,0,No Deposit,0,2,HB,1,1574
14074,0,7,4,0,4,No Deposit,0,1,HB,1,1575
14075,0,10,5,0,2,No Deposit,0,0,BB,0,1576
14079,0,1,2,0,0,No Deposit,0,2,BB,1,1577
14080,0,1,1,0,0,No Deposit,0,3,BB,2,1578
14085,1,2,0,0,1,No Deposit,0,0,BB,1,1579
14088,0,5,2,0,0,No Deposit,1,2,BB,1,1580
14093,0,2,0,0,0,No Deposit,1,2,BB,1,1581
14094,0,2,0,0,0,No Deposit,1,2,BB,2,1582
14095,0,2,0,0,0,No Deposit,1,2,BB,3,1583
14096,0,2,0,0,1,No Deposit,1,3,BB,4,1584
14097,0,2,0,0,0,No Deposit,1,4,BB,5,1585
14098,0,2,0,0,0,No Deposit,1,4,BB,6,1586
14099,0,5,2,0,0,No Deposit,1,3,HB,1,1587
14100,0,4,1,0,2,No Deposit,1,3,HB,2,1588
14101,0,5,2,0,1,No Deposit,1,2,HB,3,1589
14102,0,4,2,0,0,No Deposit,1,3,HB,4,1590
14104,0,5,2,0,0,No Deposit,1,1,BB,1,1591
14106,0,1,0,0,1,No Deposit,1,0,BB,2,1592
14109,0,2,1,0,2,No Deposit,1,1,BB,0,1593
14112,0,5,3,0,2,No Deposit,0,1,BB,1,1594
14113,0,6,3,0,0,No Deposit,0,1,BB,2,1595
14115,0,1,0,0,2,No Deposit,0,0,BB,1,1596
14117,0,1,0,0,0,No Deposit,0,2,BB,1,1597
14121,0,2,0,0,0,No Deposit,0,1,SC,1,1598
14124,0,2,1,0,1,No Deposit,0,0,BB,4,1599
14125,1,5,2,1,1,No Deposit,0,2,BB,0,1600
14128,0,3,0,0,0,No Deposit,0,0,BB,1,1601
14130,0,1,2,0,4,No Deposit,0,2,BB,1,1602
14133,0,5,2,0,0,No Deposit,0,1,HB,1,1603
14135,0,4,1,0,1,No Deposit,1,0,BB,1,1604
14143,0,2,0,0,0,No Deposit,0,1,BB,4,1605
14144,0,0,2,0,0,No Deposit,0,1,BB,5,1606
14146,0,1,1,0,0,No Deposit,0,0,BB,1,1607
14148,0,1,2,0,0,No Deposit,0,0,BB,3,1608
14149,0,2,0,0,1,No Deposit,1,0,BB,4,1609
14150,0,1,0,0,0,No Deposit,0,0,BB,5,1610
14151,0,2,0,0,0,No Deposit,1,0,BB,6,1611
14158,0,1,1,0,0,No Deposit,0,0,BB,2,1612
14161,0,1,1,0,3,No Deposit,1,0,BB,0,1613
14163,0,3,0,0,3,No Deposit,0,1,HB,0,1614
14165,0,10,4,0,0,No Deposit,1,1,BB,1,1615
14166,0,10,4,0,0,No Deposit,1,1,BB,2,1616
14171,0,1,0,0,1,No Deposit,0,0,BB,4,1617
14173,0,1,0,0,0,No Deposit,0,0,BB,6,1618
14174,0,1,0,0,0,No Deposit,0,0,BB,7,1619
14176,0,1,0,0,0,No Deposit,0,0,BB,9,1620
14177,0,0,1,0,0,No Deposit,0,0,BB,1,1621
14181,1,2,1,1,0,No Deposit,0,0,BB,0,1622
14182,0,2,2,1,1,No Deposit,0,0,FB,0,1623
14184,0,10,3,0,0,No Deposit,0,2,BB,0,1624
14185,0,9,4,0,0,No Deposit,1,2,BB,1,1625
14186,0,9,4,0,0,No Deposit,0,4,BB,2,1626
14188,0,8,3,0,1,No Deposit,0,1,BB,0,1627
14189,0,5,1,0,2,No Deposit,1,1,BB,1,1628
14190,0,4,2,0,0,No Deposit,1,1,BB,2,1629
14191,0,3,2,0,0,No Deposit,1,3,BB,3,1630
14192,1,3,2,1,0,No Deposit,0,3,BB,4,1631
14201,0,1,0,0,1,No Deposit,0,0,BB,5,1632
14204,0,0,1,0,0,No Deposit,0,1,BB,2,1633
14207,0,2,0,0,0,No Deposit,0,2,BB,1,1634
14212,0,6,2,0,1,No Deposit,1,1,BB,2,1635
14217,0,1,1,0,0,No Deposit,0,0,BB,4,1636
14219,0,0,1,0,0,No Deposit,0,0,BB,6,1637
14224,0,2,0,0,0,No Deposit,0,1,HB,1,1638
14225,0,2,0,0,2,No Deposit,0,1,HB,2,1639
14227,1,10,4,1,2,No Deposit,0,2,FB,0,1640
14228,0,9,4,1,1,No Deposit,0,2,FB,0,1641
14229,0,6,2,1,1,No Deposit,0,2,FB,1,1642
14230,1,11,4,2,1,No Deposit,0,2,HB,2,1643
14231,1,5,2,3,1,No Deposit,0,2,Undefined,2,1644
14240,0,2,1,0,1,No Deposit,0,0,BB,3,1645
14241,0,0,0,0,0,No Deposit,0,0,BB,4,1646
14253,0,3,2,0,0,No Deposit,1,2,BB,1,1647
14254,0,8,2,0,2,No Deposit,0,1,HB,0,1648
14255,0,5,2,0,1,No Deposit,0,1,HB,1,1649
14256,0,2,2,0,2,No Deposit,0,0,HB,2,1650
14258,0,4,1,0,0,No Deposit,1,1,BB,1,1651
14259,1,2,0,0,0,No Deposit,0,0,BB,2,1652
14260,0,2,2,1,0,No Deposit,1,0,BB,2,1653
14262,0,1,2,1,0,No Deposit,0,0,BB,4,1654
14263,0,1,2,1,1,No Deposit,0,0,BB,5,1655
14264,0,0,2,1,3,No Deposit,0,0,BB,6,1656
14265,0,1,1,1,1,No Deposit,1,0,BB,7,1657
14266,0,0,1,1,1,No Deposit,1,1,BB,8,1658
14267,0,0,1,1,0,No Deposit,0,1,BB,9,1659
14268,0,1,0,1,0,No Deposit,1,1,BB,10,1660
14269,0,1,1,1,1,No Deposit,1,1,BB,11,1661
14270,0,1,1,1,0,No Deposit,1,1,BB,12,1662
14271,0,1,1,1,0,No Deposit,1,1,BB,13,1663
14272,1,0,1,2,2,No Deposit,0,1,BB,14,1664
14273,0,0,1,2,0,No Deposit,0,1,BB,14,1665
14274,0,10,4,0,2,No Deposit,0,1,BB,0,1666
14276,0,2,1,0,1,No Deposit,1,1,HB,0,1667
14278,0,4,0,0,0,No Deposit,0,0,BB,2,1668
14280,0,5,2,0,0,No Deposit,0,0,BB,4,1669
14281,0,1,2,0,0,No Deposit,0,1,BB,5,1670
14282,0,3,1,0,0,No Deposit,0,1,BB,6,1671
14283,1,1,0,1,0,No Deposit,0,0,BB,3,1672
14284,0,1,0,1,1,No Deposit,0,0,BB,3,1673
14285,0,1,1,1,0,No Deposit,0,0,BB,4,1674
14286,0,2,0,1,2,No Deposit,0,0,BB,5,1675
14287,0,3,0,1,0,No Deposit,0,0,BB,6,1676
14288,0,1,1,1,0,No Deposit,0,0,BB,7,1677
14289,1,2,0,2,0,No Deposit,0,0,BB,8,1678
14290,0,1,1,2,0,No Deposit,0,0,BB,8,1679
14291,0,2,0,2,0,No Deposit,0,0,BB,9,1680
14293,0,1,1,0,0,No Deposit,0,2,BB,1,1681
14294,1,1,1,1,2,No Deposit,0,1,BB,0,1682
14295,0,1,1,1,3,No Deposit,0,1,BB,0,1683
14306,0,3,0,0,0,No Deposit,0,0,BB,3,1684
14309,0,2,0,0,1,No Deposit,0,0,BB,6,1685
14311,0,2,1,0,0,No Deposit,0,0,BB,8,1686
14312,0,2,0,0,0,No Deposit,0,0,BB,9,1687
14313,0,2,0,0,0,No Deposit,0,0,BB,10,1688
14314,0,1,0,0,0,No Deposit,0,0,BB,11,1689
14315,0,3,1,0,1,No Deposit,1,0,BB,0,1690
14316,0,3,2,0,0,No Deposit,1,0,BB,1,1691
14333,1,3,0,2,0,No Deposit,0,3,BB,0,1692
14345,1,10,4,1,0,No Deposit,0,1,BB,0,1693
14349,0,1,2,0,1,No Deposit,0,1,Undefined,1,1694
14352,0,1,1,0,0,No Deposit,0,1,BB,1,1695
14353,0,2,0,0,0,No Deposit,0,2,BB,2,1696
14361,0,1,2,0,1,No Deposit,1,3,BB,0,1697
14363,1,0,1,0,1,No Deposit,0,0,BB,1,1698
14366,0,0,1,0,0,No Deposit,1,0,BB,3,1699
14368,1,0,1,1,0,No Deposit,0,0,BB,5,1700
14369,0,1,0,1,1,No Deposit,1,0,BB,5,1701
14374,1,1,0,1,0,No Deposit,0,0,BB,0,1702
14380,0,4,2,0,2,No Deposit,1,2,BB,0,1703
14381,1,1,0,1,0,No Deposit,0,0,BB,2,1704
